DATE,MAXT (0.1 C),MINT (0.1 C),AVGT (0.1 C),MINU (%),MAXU (%),MAXP (0.1 hPa),MINP (0.1 hPa),AVGP (0.1 hPa),AVGWS (0.1 m/s)
20171230,242,162,199,49,85,10163,10114,10143,21
20171231,214,153,177,38,61,10173,10112,10148,28
20180101,193,150,168,48,75,10148,10108,10128,16
20180102,220,155,180,54,83,10137,10091,10118,15
20180103,248,175,202,41,80,10127,10086,10111,15
20180104,234,176,197,57,84,10117,10072,10090,12
20180105,228,172,195,67,88,10093,10059,10077,16
20180106,176,157,160,80,98,10091,10048,10071,11
20180107,189,143,168,81,100,10094,10046,10068,15
20180108,187,90,148,76,99,10132,10035,10079,21
20180109,91,61,76,57,95,10189,10128,10158,26
20180110,150,90,122,20,62,10200,10156,10177,33
20180111,167,116,139,18,37,10206,10163,10184,37
20180112,161,92,124,16,33,10221,10169,10194,29
20180113,169,83,121,27,62,10207,10156,10183,13
20180114,203,97,141,27,75,10181,10119,10155,17
20180115,215,108,153,35,87,10143,10081,10115,13
20180116,223,126,170,49,92,10107,10051,10080,15
20180117,250,139,184,38,93,10094,10050,10070,14
20180118,250,153,191,45,86,10112,10069,10088,14
20180119,209,181,193,76,87,10125,10085,10101,9
20180120,241,182,199,58,91,10117,10069,10090,13
20180121,227,168,187,61,91,10104,10058,10080,15
20180122,253,167,201,60,95,10081,10040,10063,10
20180123,210,169,189,66,92,10092,10059,10076,16
20180124,208,168,180,59,86,10095,10056,10077,25
20180125,216,156,175,60,83,10100,10061,10077,21
20180126,214,165,176,62,88,10114,10082,10094,17
20180127,184,124,151,61,79,10122,10076,10099,18
20180128,179,120,155,72,84,10094,10060,10076,19
20180129,120,62,78,69,95,10156,10093,10134,31
20180130,77,52,66,76,92,10165,10106,10135,24
20180131,77,68,70,73,96,10164,10117,10141,34
20180201,119,42,84,43,78,10176,10124,10151,19
20180202,114,84,97,52,69,10196,10141,10171,27
20180203,104,76,89,40,66,10209,10163,10187,21
20180204,109,79,89,35,50,10205,10167,10187,36
20180205,111,66,84,36,48,10223,10164,10194,24
20180206,155,66,105,27,49,10195,10122,10164,23
20180207,140,96,116,27,71,10154,10114,10136,19
20180208,180,99,132,32,70,10143,10084,10114,18
20180209,193,132,157,57,79,10107,10065,10088,12
20180210,235,157,187,55,81,10120,10076,10095,13
20180211,195,137,162,40,69,10176,10106,10150,24
20180212,197,107,145,24,53,10225,10160,10189,25
20180213,211,115,151,31,49,10188,10133,10163,20
20180214,226,131,171,37,60,10147,10081,10113,17
20180215,250,159,194,57,84,10112,10064,10086,16
20180216,254,162,201,54,96,10104,10059,10074,15
20180217,224,171,178,64,95,10112,10063,10089,20
20180218,227,166,191,65,81,10123,10086,10098,13
20180219,267,184,214,63,96,10113,10061,10087,10
20180220,265,197,217,64,96,10088,10049,10067,16
20180221,207,169,184,77,95,10087,10055,10070,14
20180222,171,121,140,82,98,10125,10076,10108,24
20180223,179,113,142,61,93,10143,10106,10124,16
20180224,230,150,186,58,88,10140,10083,10116,11
20180225,221,180,195,73,89,10126,10094,10107,19
20180226,214,166,179,52,79,10143,10099,10121,18
20180227,239,144,184,54,81,10128,10070,10100,14
20180228,269,184,216,60,89,10091,10045,10065,17
20180301,264,188,217,66,97,10065,10032,10048,15
20180302,282,199,226,57,92,10068,10020,10043,13
20180303,265,208,230,71,97,10054,10020,10035,11
20180304,253,223,237,86,97,10055,10021,10032,15
20180305,295,234,252,57,96,10067,10031,10047,17
20180306,244,186,211,58,95,10113,10051,10088,20
20180307,245,173,202,60,80,10118,10063,10092,18
20180308,213,117,134,69,96,10148,10083,10123,38
20180309,193,95,136,29,71,10179,10131,10155,38
20180310,220,115,160,31,88,10165,10126,10144,14
20180311,238,135,179,24,78,10163,10118,10138,16
20180312,257,158,198,43,91,10142,10088,10115,16
20180313,258,172,208,53,90,10115,10069,10092,17
20180314,225,189,205,71,95,10099,10047,10072,13
20180315,253,197,211,61,95,10077,10040,10059,10
20180316,270,192,221,60,97,10096,10050,10072,16
20180317,231,189,207,66,90,10112,10072,10094,20
20180318,266,189,217,63,87,10110,10052,10083,20
20180319,259,203,226,68,95,10083,10009,10044,15
20180320,230,177,199,58,95,10085,10021,10060,32
20180321,217,128,170,35,65,10126,10073,10096,32
20180322,245,146,188,33,63,10116,10073,10092,21
20180323,258,157,200,26,79,10124,10088,10105,14
20180324,252,182,210,37,89,10132,10094,10111,15
20180325,258,200,221,46,72,10142,10098,10116,16
20180326,268,193,221,43,78,10133,10084,10110,9
20180327,258,197,220,53,89,10111,10061,10088,18
20180328,271,192,222,51,95,10090,10049,10072,13
20180329,275,193,227,53,93,10090,10052,10067,15
20180330,273,197,226,51,88,10098,10060,10078,20
20180331,293,206,242,36,79,10102,10055,10081,19
20180401,282,201,231,45,87,10093,10046,10070,18
20180402,286,206,236,49,87,10084,10045,10061,15
20180403,282,206,238,45,85,10085,10046,10060,18
20180404,281,207,237,56,94,10074,10032,10054,20
20180405,287,210,241,54,95,10061,10025,10041,12
20180406,271,174,210,58,93,10125,10034,10077,27
20180407,195,140,169,20,74,10186,10125,10163,50
20180408,251,155,195,28,64,10163,10105,10133,22
20180409,275,167,215,50,82,10130,10073,10101,17
20180410,281,197,233,48,94,10095,10047,10072,17
20180411,288,213,243,61,94,10075,10021,10050,16
20180412,284,231,248,66,92,10056,10013,10037,12
20180413,297,246,262,60,90,10060,10022,10043,18
20180414,296,239,262,63,95,10052,10017,10038,16
20180415,264,172,202,78,97,10112,10036,10066,35
20180416,190,154,161,76,96,10109,10075,10096,22
20180417,243,149,191,61,96,10122,10081,10097,12
20180418,253,200,221,61,91,10104,10064,10082,14
20180419,283,200,233,50,88,10088,10054,10070,15
20180420,266,216,233,56,84,10080,10052,10066,16
20180421,291,221,246,58,89,10075,10036,10057,16
20180422,302,226,254,58,96,10060,10015,10040,14
20180423,303,235,260,57,95,10034,9997,10017,14
20180424,275,236,254,71,98,10041,10009,10025,13
20180425,249,222,229,66,90,10067,10032,10050,14
20180426,250,215,226,73,99,10078,10038,10060,12
20180427,281,216,243,70,98,10092,10063,10076,12
20180428,275,231,247,68,96,10094,10053,10077,17
20180429,290,231,256,64,92,10082,10031,10060,9
20180430,312,234,262,60,97,10073,10040,10055,12
20180501,305,247,270,59,94,10069,10032,10051,20
20180502,315,246,273,60,96,10071,10029,10050,20
20180503,335,238,270,49,95,10078,10039,10065,21
20180504,261,217,234,69,96,10092,10072,10086,20
20180505,302,235,261,61,87,10098,10057,10078,20
20180506,301,253,269,69,98,10081,10009,10041,32
20180507,300,264,281,74,97,10028,9967,10000,48
20180508,280,229,250,79,99,10023,9985,10008,14
20180509,269,238,246,79,99,10068,10022,10051,23
20180510,253,226,238,75,88,10087,10058,10072,27
20180511,286,225,247,65,89,10089,10046,10066,23
20180512,310,237,266,61,92,10066,10024,10049,15
20180513,310,244,273,63,96,10057,10014,10037,21
20180514,316,264,284,66,94,10045,10004,10026,23
20180515,317,259,283,62,93,10031,10006,10019,17
20180516,318,254,279,56,91,10033,9999,10014,22
20180517,323,261,287,57,92,10025,9993,10009,18
20180518,328,271,293,54,93,10021,9984,10003,20
20180519,337,275,295,52,94,10022,9984,10004,20
20180520,334,273,296,47,93,10029,9994,10009,24
20180521,334,268,297,52,92,10039,10004,10022,20
20180522,337,266,297,50,92,10055,10010,10031,18
20180523,351,273,305,49,83,10045,9998,10024,14
20180524,334,272,298,57,92,10038,10002,10018,16
20180525,330,269,295,44,82,10033,9979,10009,19
20180526,324,257,297,56,98,10030,9992,10009,26
20180527,328,286,299,62,90,10034,9997,10018,20
20180528,343,270,299,49,88,10038,9997,10017,16
20180529,356,278,308,41,90,10042,9999,10024,19
20180530,347,287,308,42,87,10038,10002,10025,25
20180531,345,285,306,55,89,10042,10000,10024,28
20180601,338,282,294,52,89,10035,10011,10027,19
20180602,333,264,287,51,85,10050,10003,10032,22
20180603,331,266,290,54,83,10038,9983,10014,17
20180604,322,277,290,58,83,10016,9982,10001,20
20180605,308,259,268,69,98,10009,9984,10000,13
20180606,271,251,264,90,99,10006,9965,9983,15
20180607,277,244,262,89,99,9990,9953,9973,18
20180608,284,251,269,85,99,9972,9913,9936,18
20180609,306,261,280,66,99,9938,9903,9918,13
20180610,332,258,294,48,96,9948,9918,9934,23
20180611,342,269,301,39,91,9968,9930,9953,12
20180612,294,249,271,65,98,9971,9932,9954,9
20180613,281,247,258,91,99,9950,9892,9914,13
20180614,278,243,257,76,97,9925,9901,9914,19
20180615,290,242,267,65,89,9962,9925,9947,20
20180616,328,255,282,43,86,9980,9945,9965,14
20180617,338,257,290,41,77,9970,9930,9951,19
20180618,307,271,285,71,89,9957,9936,9948,27
20180619,312,270,284,76,98,9976,9954,9967,34
20180620,317,279,292,76,94,9995,9967,9980,34
20180621,321,281,297,71,92,10004,9965,9984,20
20180622,320,250,274,71,99,10000,9979,9989,22
20180623,295,242,266,85,99,10005,9982,9994,12
20180624,327,257,287,59,97,10017,9991,10007,14
20180625,310,256,278,70,99,10029,10003,10015,13
20180626,322,249,286,61,98,10042,10019,10032,12
20180627,322,266,283,61,94,10052,10006,10029,17
20180628,324,268,296,63,92,10035,9970,10007,21
20180629,319,278,297,72,89,9988,9946,9970,33
20180630,319,284,298,72,91,9982,9953,9969,30
20180701,322,281,300,70,90,9978,9948,9967,39
20180702,312,249,283,77,99,9976,9949,9962,20
20180703,300,257,284,80,99,9967,9936,9953,18
20180704,318,275,297,70,93,9963,9925,9948,37
20180705,318,277,288,75,95,9962,9934,9951,24
20180706,322,280,295,68,90,9964,9935,9953,20
20180707,311,258,278,71,96,9969,9950,9959,14
20180708,323,267,287,67,95,9980,9957,9970,13
20180709,318,271,289,63,85,9994,9974,9985,17
20180710,332,262,294,57,92,10005,9956,9980,20
20180711,327,261,293,62,89,9982,9918,9948,15
20180712,342,273,301,54,86,9970,9937,9960,17
20180713,289,257,266,75,97,9978,9955,9968,13
20180714,295,249,269,75,98,9985,9955,9968,15
20180715,290,251,266,75,96,9985,9955,9968,21
20180716,313,256,284,59,88,9982,9957,9969,17
20180717,348,265,304,52,90,9969,9928,9953,17
20180718,311,255,280,67,97,9978,9942,9967,17
20180719,325,273,290,61,88,9989,9959,9974,17
20180720,327,261,288,62,95,9985,9946,9966,15
20180721,329,267,292,61,93,9978,9935,9956,16
20180722,324,268,291,63,94,9965,9938,9950,18
20180723,326,258,289,65,97,9963,9932,9944,19
20180724,306,259,277,73,97,9975,9943,9961,11
20180725,317,268,286,68,97,9994,9970,9987,14
20180726,304,261,280,72,97,10011,9976,9994,10
20180727,307,256,277,71,97,10004,9977,9995,9
20180728,330,263,288,63,95,10016,9973,9995,14
20180729,334,263,294,56,94,10010,9971,9986,13
20180730,328,269,296,54,90,9996,9969,9984,15
20180731,325,274,296,59,90,9999,9963,9983,16
20180801,325,261,296,56,93,9990,9950,9974,18
20180802,320,279,297,69,86,9982,9942,9968,23
20180803,313,267,287,71,97,9974,9947,9962,20
20180804,330,268,298,61,94,9992,9958,9974,18
20180805,331,279,297,60,90,9996,9967,9986,10
20180806,327,275,289,62,91,10002,9962,9983,19
20180807,340,254,280,56,96,9994,9953,9975,11
20180808,339,262,299,53,94,9985,9949,9971,14
20180809,338,278,303,51,83,9987,9939,9964,21
20180810,303,257,277,70,98,9965,9928,9945,15
20180811,278,250,266,85,98,9949,9896,9919,12
20180812,280,255,263,84,98,9917,9874,9896,17
20180813,324,262,287,65,92,9903,9874,9892,14
20180814,308,260,277,70,97,9905,9878,9890,23
20180815,301,259,274,70,97,9933,9894,9919,16
20180816,295,258,271,80,98,9936,9916,9929,13
20180817,291,248,268,76,98,9947,9916,9929,12
20180818,312,252,277,71,98,9954,9929,9941,13
20180819,306,263,276,74,92,9964,9938,9953,15
20180820,310,248,273,74,96,9970,9931,9950,17
20180821,313,248,279,74,98,9958,9909,9931,13
20180822,318,241,275,72,97,9945,9901,9928,16
20180823,312,240,276,76,98,9964,9924,9945,13
20180824,327,248,282,72,96,9968,9923,9947,13
20180825,346,277,303,42,94,9954,9907,9929,16
20180826,316,273,293,61,89,9935,9908,9923,15
20180827,288,248,270,72,97,9955,9926,9939,17
20180828,298,244,252,74,98,9959,9938,9951,14
20180829,280,239,256,86,98,9961,9941,9951,12
20180830,272,246,262,92,99,9997,9959,9980,10
20180831,289,250,268,83,98,10032,9996,10019,13
20180901,278,244,258,81,98,10040,10015,10028,12
20180902,295,240,265,70,98,10029,9986,10006,16
20180903,314,248,276,64,94,10013,9980,9996,15
20180904,325,264,287,66,93,10002,9964,9985,19
20180905,340,272,294,61,94,9994,9950,9974,23
20180906,325,269,283,63,90,9996,9960,9983,14
20180907,329,270,281,58,93,10002,9971,9991,12
20180908,284,246,263,67,92,10030,9994,10015,22
20180909,302,249,272,57,90,10057,10024,10040,23
20180910,296,245,261,62,90,10069,10040,10054,9
20180911,316,236,275,42,94,10050,10001,10024,16
20180912,309,264,281,52,75,10019,9990,10008,20
20180913,307,256,278,69,94,10039,10008,10022,18
20180914,328,254,286,61,91,10042,9995,10022,14
20180915,340,259,304,50,92,10016,9927,9967,21
20180916,331,234,267,50,98,9935,9725,9831,72
20180917,304,248,277,71,97,10038,9863,9997,29
20180918,318,256,282,62,97,10121,10038,10068,21
20180919,322,249,281,59,94,10078,10031,10058,13
20180920,319,263,284,66,92,10054,10017,10037,20
20180921,320,268,287,60,85,10058,10022,10043,16
20180922,329,263,288,58,88,10077,10042,10059,16
20180923,324,265,285,62,89,10079,10039,10059,13
20180924,296,253,272,73,97,10061,9990,10039,9
20180925,306,252,270,61,88,10043,10008,10025,12
20180926,295,247,265,69,87,10037,10002,10022,16
20180927,292,241,265,69,97,10039,10007,10024,9
20180928,293,245,266,56,90,10043,10015,10029,25
20180929,298,227,262,50,75,10040,9999,10021,26
20180930,302,242,269,46,64,10050,10017,10032,20
20181001,303,243,264,43,83,10079,10041,10066,19
20181002,308,242,265,38,73,10098,10058,10077,20
20181003,304,233,260,38,85,10099,10060,10081,15
20181004,295,228,263,30,83,10092,10042,10069,22
20181005,291,222,255,27,47,10070,10027,10051,29
20181006,304,218,255,30,51,10078,10043,10062,14
20181007,308,235,261,45,77,10094,10052,10073,14
20181008,307,239,262,52,86,10089,10046,10068,19
20181009,288,241,257,66,89,10079,10042,10063,12
20181010,279,221,237,72,94,10085,10055,10074,17
20181011,226,208,215,68,83,10123,10085,10107,27
20181012,256,203,223,57,74,10134,10099,10117,19
20181013,275,219,240,54,77,10124,10083,10103,18
20181014,276,234,247,65,83,10101,10065,10082,17
20181015,288,239,253,67,87,10085,10050,10071,14
20181016,252,223,231,82,97,10078,10046,10063,21
20181017,228,204,213,78,96,10071,10044,10056,13
20181018,236,193,212,79,97,10166,10057,10074,20
20181019,270,218,235,60,86,10112,10082,10097,14
20181020,255,227,236,67,82,10132,10097,10114,15
20181021,288,218,245,59,92,10127,10077,10101,15
20181022,286,223,242,59,90,10107,10067,10085,14
20181023,274,231,248,63,91,10115,10077,10091,16
20181024,274,232,245,68,82,10114,10078,10094,14
20181025,294,238,255,62,84,10117,10078,10096,15
20181026,285,227,254,68,90,10115,10073,10094,17
20181027,284,226,249,43,81,10135,10092,10109,25
20181028,277,203,240,24,52,10129,10077,10104,22
20181029,284,193,243,19,57,10102,10062,10081,17
20181030,278,205,241,22,45,10093,10061,10078,21
20181031,272,214,240,27,42,10099,10055,10074,37
20181101,259,221,235,24,61,10069,10040,10059,45
20181102,221,186,204,60,87,10106,10062,10081,25
20181103,228,186,204,79,93,10116,10081,10096,11
20181104,260,206,225,70,93,10112,10072,10092,12
20181105,294,225,244,55,87,10114,10070,10093,14
20181106,299,220,249,49,87,10117,10080,10100,10
20181107,287,225,248,57,89,10122,10080,10101,16
20181108,268,229,244,67,89,10116,10077,10096,22
20181109,280,203,232,55,76,10116,10077,10095,22
20181110,255,226,236,67,84,10128,10092,10105,12
20181111,282,210,241,59,91,10120,10077,10099,11
20181112,289,221,250,55,86,10097,10046,10070,10
20181113,272,211,233,60,79,10087,10046,10067,20
20181114,274,219,235,57,82,10099,10059,10080,17
20181115,259,220,233,68,82,10101,10063,10083,17
20181116,264,223,237,72,88,10093,10059,10078,16
20181117,248,225,234,79,92,10101,10070,10083,17
20181118,276,221,240,67,87,10108,10069,10086,12
20181119,262,200,230,55,89,10125,10087,10102,21
20181120,255,203,224,66,83,10120,10075,10099,20
20181121,286,218,238,64,87,10105,10063,10088,14
20181122,231,172,194,51,84,10146,10096,10130,31
20181123,237,171,199,50,73,10155,10099,10128,18
20181124,235,183,207,61,84,10141,10104,10122,14
20181125,209,164,185,61,97,10131,10095,10115,10
20181126,210,162,181,73,98,10135,10100,10115,13
20181127,215,184,194,66,92,10135,10104,10117,10
20181128,220,183,197,73,98,10136,10102,10119,10
20181129,257,176,210,52,90,10160,10112,10135,11
20181130,255,189,215,50,87,10152,10105,10129,12
20181201,262,202,224,59,83,10134,10086,10110,12
20181202,274,200,224,53,90,10109,10069,10088,16
20181203,283,203,234,59,92,10112,10072,10090,13
20181204,292,209,243,57,91,10110,10067,10087,11
20181205,257,223,233,72,88,10103,10063,10080,11
20181206,257,216,232,73,86,10100,10062,10080,13
20181207,237,168,193,80,95,10135,10078,10111,25
20181208,175,138,154,65,82,10165,10126,10148,30
20181209,150,125,132,72,83,10171,10132,10149,24
20181210,159,110,138,67,87,10153,10110,10130,23
20181211,173,142,153,61,81,10156,10123,10136,31
20181212,153,109,121,61,73,10204,10147,10176,33
20181213,157,104,125,55,71,10202,10164,10183,32
20181214,163,125,142,62,72,10205,10167,10183,22
20181215,219,145,174,55,77,10189,10133,10164,20
20181216,190,156,171,68,94,10179,10128,10154,23
20181217,208,126,162,28,74,10178,10130,10152,22
20181218,220,134,169,34,56,10170,10123,10146,13
20181219,236,172,197,54,80,10148,10089,10122,12
20181220,265,194,223,65,89,10120,10064,10090,16
20181221,278,207,228,51,95,10106,10061,10083,20
20181222,269,189,223,59,86,10121,10073,10095,14
20181223,232,164,202,71,92,10121,10089,10104,27
20181224,173,148,160,76,96,10130,10084,10106,28
20181225,208,155,182,72,94,10105,10065,10082,11
20181226,253,173,208,64,92,10084,10046,10068,13
20181227,234,183,200,53,92,10110,10069,10089,22
20181228,193,147,163,57,76,10167,10105,10140,44
20181229,155,100,116,61,72,10214,10162,10192,41
20181230,127,80,101,58,75,10223,10178,10197,34
20181231,122,85,99,60,74,10222,10186,10204,24
20190101,149,84,113,54,78,10219,10172,10199,27
20190102,141,105,124,60,77,10210,10161,10187,24
20190103,150,119,132,64,88,10193,10154,10175,22
20190104,209,139,172,72,97,10176,10133,10154,10
20190105,211,172,186,77,95,10153,10114,10134,13
20190106,193,158,167,66,94,10163,10131,10144,21
20190107,195,157,175,78,87,10155,10124,10137,9
20190108,203,177,184,69,87,10153,10111,10138,17
20190109,215,155,178,67,84,10168,10125,10149,20
20190110,240,168,194,62,90,10152,10105,10127,13
20190111,265,186,211,64,90,10138,10086,10110,13
20190112,246,191,208,63,96,10128,10091,10109,13
20190113,208,177,191,78,94,10138,10100,10116,13
20190114,217,175,190,71,92,10132,10090,10109,11
20190115,215,171,188,78,98,10132,10098,10114,12
20190116,194,143,156,60,79,10151,10117,10136,34
20190117,204,125,155,49,74,10176,10131,10149,20
20190118,181,124,154,58,76,10174,10128,10148,19
20190119,236,154,185,57,83,10145,10096,10122,15
20190120,256,178,210,57,89,10130,10095,10114,15
20190121,219,144,166,53,68,10169,10113,10145,28
20190122,185,108,143,33,65,10174,10133,10152,25
20190123,208,115,154,32,57,10160,10115,10136,24
20190124,222,129,164,39,85,10148,10113,10129,15
20190125,253,132,179,30,81,10159,10115,10136,11
20190126,231,164,186,39,85,10179,10140,10153,13
20190127,216,140,166,44,82,10189,10135,10160,15
20190128,226,142,176,41,78,10166,10124,10139,13
20190129,236,151,183,42,74,10156,10124,10137,13
20190130,248,152,190,51,88,10154,10115,10132,15
20190131,253,172,206,61,88,10140,10100,10116,11
20190201,225,155,173,54,77,10175,10117,10144,30
20190202,241,161,189,62,82,10143,10079,10109,15
20190203,265,182,210,58,94,10117,10080,10096,12
20190204,281,183,213,56,97,10134,10086,10105,15
20190205,256,178,205,61,90,10114,10074,10096,17
20190206,265,195,220,64,94,10095,10052,10071,19
20190207,278,202,227,57,92,10094,10055,10071,14
20190208,280,198,211,59,94,10092,10056,10076,18
20190209,234,190,203,72,90,10114,10078,10098,25
20190210,211,179,188,73,89,10157,10111,10137,21
20190211,190,153,168,71,86,10193,10152,10170,18
20190212,244,149,183,59,90,10186,10147,10165,17
20190213,258,183,209,59,86,10167,10112,10144,8
20190214,271,184,213,56,92,10149,10107,10127,21
20190215,249,187,210,67,91,10147,10100,10124,12
20190216,282,192,223,55,94,10129,10074,10103,18
20190217,223,184,194,67,89,10122,10082,10100,22
20190218,186,164,172,81,98,10120,10058,10086,19
20190219,254,173,208,72,98,10110,10071,10089,17
20190220,278,208,233,70,96,10129,10089,10107,15
20190221,268,205,222,66,95,10116,10070,10097,12
20190222,234,164,195,60,96,10127,10079,10099,21
20190223,200,137,165,66,97,10106,10063,10086,20
20190224,168,114,141,72,97,10123,10075,10099,24
20190225,174,135,152,74,92,10128,10086,10103,20
20190226,211,153,179,76,90,10124,10070,10102,17
20190227,259,182,211,65,94,10105,10049,10077,16
20190228,275,198,227,58,95,10089,10053,10070,17
20190301,245,199,214,68,91,10110,10068,10085,25
20190302,257,198,217,65,93,10085,10027,10053,12
20190303,246,177,204,67,95,10060,10016,10039,21
20190304,244,177,203,62,87,10088,10049,10063,21
20190305,263,176,214,71,97,10073,10022,10042,17
20190306,234,192,203,82,97,10069,10037,10057,21
20190307,196,153,164,86,98,10114,10066,10082,23
20190308,175,145,158,80,98,10118,10063,10086,20
20190309,183,159,170,89,98,10074,10018,10049,15
20190310,167,155,159,86,98,10092,10041,10066,21
20190311,228,139,173,53,96,10101,10054,10077,16
20190312,249,153,194,50,96,10107,10072,10088,13
20190313,259,173,208,36,83,10119,10084,10099,18
20190314,216,189,202,63,95,10125,10090,10109,17
20190315,192,163,178,67,92,10159,10110,10131,26
20190316,233,170,196,36,85,10144,10103,10126,13
20190317,239,193,207,51,75,10134,10090,10113,18
20190318,253,191,215,66,88,10116,10069,10093,22
20190319,282,197,232,58,94,10097,10049,10074,14
20190320,272,220,238,71,91,10081,10033,10053,14
20190321,277,221,245,67,95,10059,10019,10040,17
20190322,282,234,251,72,93,10063,10028,10043,11
20190323,250,161,194,86,95,10111,10044,10093,24
20190324,175,137,158,84,96,10131,10085,10109,19
20190325,216,161,186,75,97,10119,10073,10097,19
20190326,262,197,219,68,91,10128,10091,10107,16
20190327,275,197,226,67,88,10125,10068,10096,13
20190328,281,215,238,63,93,10082,10025,10054,12
20190329,269,226,238,72,97,10045,10013,10029,13
20190330,251,217,228,73,95,10076,10033,10058,15
20190331,248,214,223,64,87,10101,10062,10088,26
20190401,221,196,205,71,83,10139,10101,10116,17
20190402,256,189,211,60,84,10132,10078,10106,23
20190403,283,206,234,60,85,10113,10071,10091,18
20190404,248,202,221,66,88,10109,10073,10093,16
20190405,284,203,235,58,84,10095,10044,10073,15
20190406,285,213,242,59,97,10076,10033,10057,18
20190407,279,224,247,70,94,10074,10032,10052,17
20190408,297,238,260,62,94,10061,10023,10042,17
20190409,291,243,261,65,93,10055,10016,10037,23
20190410,295,238,260,67,95,10058,10011,10037,17
20190411,294,242,262,68,95,10041,10006,10026,15
20190412,269,194,208,79,98,10084,10024,10055,23
20190413,227,204,214,82,93,10083,10030,10064,25
20190414,267,217,227,74,97,10078,10041,10063,12
20190415,245,213,222,63,98,10084,10051,10066,20
20190416,234,193,211,75,98,10080,10035,10050,14
20190417,273,201,230,64,98,10072,10028,10049,16
20190418,250,223,237,78,97,10049,9990,10025,16
20190419,291,206,224,70,98,10027,9987,10004,15
20190420,251,210,227,90,98,10014,9971,9999,30
20190421,295,227,259,78,95,10017,9988,10006,14
20190422,307,254,275,69,93,10034,9999,10016,22
20190423,301,253,274,71,95,10047,10014,10028,22
20190424,303,247,273,65,95,10051,10012,10025,18
20190425,305,253,275,73,94,10042,10007,10019,23
20190426,306,259,280,67,94,10049,10011,10029,19
20190427,281,213,245,70,97,10072,10026,10055,20
20190428,287,216,247,69,94,10075,10032,10058,18
20190429,311,238,267,61,93,10062,10007,10035,13
20190430,287,229,263,67,98,10034,9978,10008,13
20190501,264,228,248,66,91,10042,10000,10018,23
20190502,245,195,210,66,96,10065,10026,10050,25
20190503,239,189,211,57,98,10092,10053,10070,14
20190504,236,198,217,46,95,10084,10037,10060,19
20190505,230,196,211,84,98,10055,9993,10023,16
20190506,231,213,219,85,97,10028,9998,10013,11
20190507,215,192,200,79,98,10040,9989,10028,17
20190508,222,193,202,78,97,10043,10000,10022,17
20190509,264,194,224,72,98,10030,9986,10012,16
20190510,268,227,240,74,95,10040,10006,10025,12
20190511,291,222,252,62,90,10057,10020,10041,17
20190512,303,227,261,53,84,10048,10017,10037,18
20190513,304,244,261,61,92,10046,10006,10030,17
20190514,306,246,274,68,94,10037,9999,10020,14
20190515,313,259,278,71,92,10035,9998,10017,16
20190516,313,273,287,76,94,10023,9973,10002,43
20190517,308,276,290,78,94,10000,9954,9980,51
20190518,318,278,293,71,94,9995,9957,9978,35
20190519,325,281,298,68,93,10007,9975,9994,33
20190520,304,265,282,79,95,10015,9991,10007,16
20190521,286,238,250,66,98,10046,9955,10033,21
20190522,301,220,257,64,95,10051,10004,10026,14
20190523,283,251,259,79,93,10038,10015,10024,16
20190524,280,241,252,75,93,10050,10020,10033,25
20190525,300,251,270,72,91,10040,9993,10016,19
20190526,287,239,265,78,98,10021,9984,10003,10
20190527,268,239,259,86,99,10029,9928,10009,9
20190528,279,240,258,81,98,10034,9994,10013,10
20190529,270,241,251,82,95,10036,10011,10023,18
20190530,270,233,248,75,94,10043,10012,10026,20
20190531,277,243,253,83,98,10030,9991,10014,12
20190601,296,245,269,75,99,10018,9981,10002,25
20190602,303,246,266,75,98,10019,9986,9997,17
20190603,296,247,266,79,98,10013,9981,9999,20
20190604,317,246,269,69,97,10031,9995,10013,16
20190605,320,250,288,69,95,10037,10009,10020,12
20190606,324,273,294,63,94,10045,10016,10030,19
20190607,317,272,293,66,94,10047,10009,10031,26
20190608,315,274,293,65,93,10030,9987,10013,33
20190609,315,282,296,74,91,10000,9960,9983,52
20190610,310,239,282,79,98,9976,9944,9962,37
20190611,287,238,257,84,98,10034,9958,9974,11
20190612,311,242,270,78,98,9994,9916,9966,14
20190613,301,239,273,80,99,10027,9938,9963,16
20190614,326,250,283,53,97,9967,9936,9953,18
20190615,330,251,282,42,78,9994,9959,9980,23
20190616,308,259,279,58,86,10005,9977,9989,17
20190617,300,266,274,73,95,10013,9987,9998,20
20190618,317,264,281,72,98,10019,9996,10009,14
20190619,305,259,289,76,96,10021,9986,10006,11
20190620,318,272,297,70,96,10013,9978,9997,21
20190621,320,286,299,73,91,9999,9970,9986,38
20190622,316,285,298,74,94,9989,9959,9974,46
20190623,309,288,295,79,92,9986,9961,9973,38
20190624,303,258,282,82,98,9998,9975,9988,32
20190625,310,242,270,73,98,10024,9978,9991,17
20190626,314,256,274,76,98,10002,9943,9971,11
20190627,323,274,295,70,94,9968,9922,9944,14
20190628,326,282,296,72,94,9954,9928,9944,14
20190629,331,275,304,59,94,9958,9926,9945,15
20190630,340,266,304,64,97,9959,9926,9943,14
20190701,342,280,304,55,90,9962,9921,9946,17
20190702,328,280,298,65,83,9954,9928,9942,18
20190703,286,254,265,76,98,9979,9940,9964,15
20190704,318,252,287,71,98,10000,9976,9991,14
20190705,313,258,285,73,98,9999,9956,9976,35
20190706,313,269,291,75,97,9973,9943,9962,27
20190707,308,280,290,75,90,9981,9957,9971,25
