DATE,MAXT (0.1 C),MINT (0.1 C),AVGT (0.1 C),MINU (%),MAXU (%),MAXP (0.1 hPa),MINP (0.1 hPa),AVGP (0.1 hPa),AVGWS (0.1 m/s)
20150627,337,284,304,57,85,10016,9988,10007,22
20150628,335,277,300,54,88,10038,10003,10021,26
20150629,325,279,298,57,81,10026,9979,10006,30
20150630,330,286,303,62,81,10007,9963,9986,42
20150701,330,289,302,65,83,9987,9940,9968,33
20150702,326,292,304,64,82,9974,9936,9957,37
20150703,332,286,304,62,84,9965,9939,9954,25
20150704,339,279,305,55,85,9965,9938,9955,16
20150705,345,277,307,49,82,9973,9937,9959,17
20150706,324,272,294,53,78,9962,9924,9944,29
20150707,325,259,291,47,67,9944,9921,9934,24
20150708,324,259,286,47,65,9951,9918,9937,33
20150709,305,250,269,57,87,9940,9868,9906,37
20150710,334,246,281,45,93,9944,9878,9928,17
20150711,354,268,308,43,85,9945,9909,9930,16
20150712,359,284,313,39,85,9947,9923,9939,15
20150713,348,284,309,51,87,9967,9932,9950,16
20150714,346,281,303,50,84,9964,9923,9951,19
20150715,355,282,309,51,84,9955,9918,9939,16
20150716,343,284,301,56,83,9948,9909,9934,15
20150717,319,255,288,65,92,9958,9928,9941,20
20150718,333,280,300,57,83,9955,9929,9944,18
20150719,343,274,303,45,78,9955,9927,9940,17
20150720,302,265,279,66,91,9953,9932,9939,17
20150721,270,251,261,83,93,10004,9932,9987,45
20150722,296,259,278,76,90,10019,9991,10008,26
20150723,302,246,274,72,93,10021,9991,10004,17
20150724,289,229,268,75,94,10014,9980,9995,24
20150725,303,268,283,68,89,10005,9981,9992,26
20150726,313,261,280,63,91,10027,9988,10014,19
20150727,316,257,282,61,90,10050,10027,10039,15
20150728,328,263,291,50,87,10057,10032,10048,12
20150729,320,263,274,55,83,10063,10031,10043,12
20150730,318,260,282,59,86,10051,10029,10038,17
20150731,325,251,288,52,86,10049,10022,10037,17
20150801,321,261,286,54,85,10049,10022,10036,16
20150802,328,252,287,52,85,10054,10028,10042,15
20150803,328,258,291,53,87,10047,10016,10034,19
20150804,333,259,294,48,87,10031,9990,10013,18
20150805,328,270,296,50,80,10006,9966,9990,18
20150806,338,272,299,44,83,9998,9961,9980,16
20150807,360,277,317,34,82,9989,9931,9967,14
20150808,360,298,330,38,77,9951,9886,9919,27
20150809,362,251,311,39,89,9932,9891,9911,17
20150810,313,255,281,67,91,9984,9932,9967,20
20150811,321,258,291,56,92,10013,9983,9998,23
20150812,341,274,299,48,85,10017,9989,10006,17
20150813,302,263,284,72,90,10026,9987,10005,23
20150814,313,243,271,70,93,10014,9987,9999,10
20150815,284,239,253,76,93,10030,9994,10010,11
20150816,309,245,278,67,91,10024,9997,10011,14
20150817,319,272,294,66,90,10024,9990,10007,22
20150818,330,281,298,50,88,10024,9985,10007,28
20150819,335,278,297,53,86,10019,9983,10004,24
20150820,316,269,289,69,91,10012,9969,9995,10
20150821,345,270,293,53,88,9987,9928,9956,13
20150822,339,272,304,50,88,9950,9914,9933,23
20150823,346,286,314,44,67,9944,9913,9930,24
20150824,349,285,317,34,79,9964,9932,9951,11
